Game_Start,Game_End
2018-04-05 15:10:00+00:00,2018-04-05 19:13:00+00:00
2018-04-07 13:10:00+00:00,2018-04-07 16:49:00+00:00
2018-04-08 13:10:00+00:00,2018-04-08 15:48:00+00:00
2018-04-09 13:10:00+00:00,2018-04-09 16:57:00+00:00
2018-04-10 13:10:00+00:00,2018-04-10 16:54:00+00:00
2018-04-11 13:10:00+00:00,2018-04-11 16:12:00+00:00
2018-04-20 19:10:00+00:00,2018-04-20 22:14:00+00:00
2018-04-21 18:10:00+00:00,2018-04-21 21:23:00+00:00
2018-04-22 13:10:00+00:00,2018-04-22 16:30:00+00:00
2018-04-23 19:10:00+00:00,2018-04-23 22:06:00+00:00
2018-04-24 16:10:00+00:00,2018-04-24 19:02:00+00:00
2018-04-25 13:10:00+00:00,2018-04-25 16:07:00+00:00
2018-05-03 19:10:00+00:00,2018-05-03 22:04:00+00:00
2018-05-04 19:10:00+00:00,2018-05-04 22:29:00+00:00
2018-05-05 18:10:00+00:00,2018-05-05 21:33:00+00:00
2018-05-06 13:10:00+00:00,2018-05-06 16:06:00+00:00
2018-05-08 19:10:00+00:00,2018-05-08 23:03:00+00:00
2018-05-09 13:10:00+00:00,2018-05-09 15:56:00+00:00
2018-05-17 19:10:00+00:00,2018-05-17 22:04:00+00:00
2018-05-18 19:10:00+00:00,2018-05-18 23:02:00+00:00
2018-05-19 18:10:00+00:00,2018-05-19 21:08:00+00:00
2018-05-20 13:10:00+00:00,2018-05-20 15:38:00+00:00
2018-05-21 19:10:00+00:00,2018-05-21 22:12:00+00:00
2018-05-22 19:10:00+00:00,2018-05-22 22:13:00+00:00
2018-05-23 19:10:00+00:00,2018-05-23 22:04:00+00:00
2018-05-24 13:10:00+00:00,2018-05-24 16:10:00+00:00
2018-06-01 19:10:00+00:00,2018-06-01 22:10:00+00:00
2018-06-02 13:10:00+00:00,2018-06-02 16:02:00+00:00
2018-06-03 13:10:00+00:00,2018-06-03 16:03:00+00:00
2018-06-11 19:10:00+00:00,2018-06-11 22:09:00+00:00
2018-06-12 19:10:00+00:00,2018-06-12 22:07:00+00:00
2018-06-13 19:10:00+00:00,2018-06-13 21:41:00+00:00
2018-06-14 13:10:00+00:00,2018-06-14 16:02:00+00:00
2018-06-15 19:10:00+00:00,2018-06-15 22:33:00+00:00
2018-06-16 13:10:00+00:00,2018-06-16 16:13:00+00:00
2018-06-17 13:10:00+00:00,2018-06-17 16:09:00+00:00
2018-06-21 19:10:00+00:00,2018-06-21 21:57:00+00:00
2018-06-22 15:10:00+00:00,2018-06-22 18:14:00+00:00
2018-06-22 15:15:00+00:00,2018-06-22 18:02:00+00:00
2018-06-23 13:10:00+00:00,2018-06-23 16:38:00+00:00
2018-06-24 13:10:00+00:00,2018-06-24 15:52:00+00:00
2018-06-26 19:10:00+00:00,2018-06-26 22:26:00+00:00
2018-06-27 19:10:00+00:00,2018-06-27 22:06:00+00:00
2018-06-28 13:10:00+00:00,2018-06-28 18:01:00+00:00
2018-07-10 19:10:00+00:00,2018-07-10 22:20:00+00:00
2018-07-11 19:10:00+00:00,2018-07-11 21:56:00+00:00
2018-07-13 19:10:00+00:00,2018-07-13 22:44:00+00:00
2018-07-14 13:10:00+00:00,2018-07-14 15:57:00+00:00
2018-07-15 13:10:00+00:00,2018-07-15 15:49:00+00:00
2018-07-27 19:10:00+00:00,2018-07-27 22:15:00+00:00
2018-07-28 18:10:00+00:00,2018-07-28 21:21:00+00:00
2018-07-29 13:10:00+00:00,2018-07-29 16:07:00+00:00
2018-07-31 19:10:00+00:00,2018-07-31 22:20:00+00:00
2018-08-01 19:10:00+00:00,2018-08-01 22:11:00+00:00
2018-08-02 13:10:00+00:00,2018-08-02 16:02:00+00:00
2018-08-06 19:10:00+00:00,2018-08-06 22:09:00+00:00
2018-08-07 19:10:00+00:00,2018-08-07 23:36:00+00:00
2018-08-08 19:10:00+00:00,2018-08-08 22:15:00+00:00
2018-08-10 19:10:00+00:00,2018-08-10 21:56:00+00:00
2018-08-11 18:10:00+00:00,2018-08-11 21:03:00+00:00
2018-08-12 13:10:00+00:00,2018-08-12 16:41:00+00:00
2018-08-17 19:10:00+00:00,2018-08-17 22:07:00+00:00
2018-08-18 18:10:00+00:00,2018-08-18 21:16:00+00:00
2018-08-19 13:10:00+00:00,2018-08-19 16:21:00+00:00
2018-08-21 19:10:00+00:00,2018-08-21 22:26:00+00:00
2018-08-22 13:10:00+00:00,2018-08-22 16:16:00+00:00
2018-08-30 19:10:00+00:00,2018-08-30 22:47:00+00:00
2018-08-31 19:10:00+00:00,2018-08-31 22:03:00+00:00
2018-09-01 18:10:00+00:00,2018-09-01 21:06:00+00:00
2018-09-02 13:10:00+00:00,2018-09-02 16:22:00+00:00
2018-09-03 13:10:00+00:00,2018-09-03 15:58:00+00:00
2018-09-04 19:10:00+00:00,2018-09-04 22:36:00+00:00
2018-09-05 19:10:00+00:00,2018-09-05 22:27:00+00:00
2018-09-07 19:10:00+00:00,2018-09-07 22:05:00+00:00
2018-09-08 18:10:00+00:00,2018-09-08 21:55:00+00:00
2018-09-09 13:10:00+00:00,2018-09-09 16:27:00+00:00
2018-09-21 15:10:00+00:00,2018-09-21 18:43:00+00:00
2018-09-22 18:10:00+00:00,2018-09-22 21:35:00+00:00
2018-09-23 13:10:00+00:00,2018-09-23 16:18:00+00:00
2018-09-24 19:10:00+00:00,2018-09-24 22:03:00+00:00
2018-09-25 19:10:00+00:00,2018-09-25 22:20:00+00:00
2018-09-26 19:10:00+00:00,2018-09-26 22:57:00+00:00
