Game_Start,Game_End
2018-01-03 20:00:00,2018-01-03 22:30:00
2018-01-06 19:00:00,2018-01-06 21:30:00
2018-01-08 20:00:00,2018-01-08 22:30:00
2018-01-15 15:30:00,2018-01-15 18:00:00
2018-01-20 17:00:00,2018-01-20 19:30:00
2018-01-26 20:00:00,2018-01-26 22:30:00
2018-02-09 21:30:00,2018-02-10 00:00:00
2018-02-10 20:00:00,2018-02-10 22:30:00
2018-02-14 20:00:00,2018-02-14 22:30:00
2018-02-22 20:00:00,2018-02-22 22:30:00
2018-02-27 19:00:00,2018-02-27 21:30:00
2018-03-02 20:00:00,2018-03-02 22:30:00
2018-03-05 20:00:00,2018-03-05 22:30:00
2018-03-09 19:00:00,2018-03-09 21:30:00
2018-03-11 15:30:00,2018-03-11 18:00:00
2018-03-19 19:30:00,2018-03-19 22:00:00
2018-03-21 20:00:00,2018-03-21 22:30:00
2018-03-24 19:00:00,2018-03-24 21:30:00
2018-03-27 20:00:00,2018-03-27 22:30:00
2018-04-01 15:30:00,2018-04-01 18:00:00
2018-04-06 19:30:00,2018-04-06 22:00:00
2018-04-07 20:00:00,2018-04-07 22:30:00
2018-04-09 19:30:00,2018-04-09 22:00:00
2018-10-22 20:30:00,2018-10-22 23:00:00
2018-10-24 20:00:00,2018-10-24 22:30:00
2018-11-02 20:00:00,2018-11-02 22:30:00
2018-11-03 20:00:00,2018-11-03 22:30:00
2018-11-05 19:30:00,2018-11-05 22:00:00
2018-11-07 20:00:00,2018-11-07 22:30:00
2018-11-16 21:30:00,2018-11-17 00:00:00
2018-11-17 20:00:00,2018-11-17 22:30:00
2018-11-21 20:00:00,2018-11-21 22:30:00
2018-11-26 20:00:00,2018-11-26 22:30:00
2018-11-30 19:00:00,2018-11-30 21:30:00
2018-12-04 19:00:00,2018-12-04 21:30:00
2018-12-07 20:00:00,2018-12-07 22:30:00
2018-12-17 20:00:00,2018-12-17 22:30:00
2018-12-19 20:00:00,2018-12-19 22:30:00
2018-12-23 18:00:00,2018-12-23 20:30:00
2018-12-28 19:00:00,2018-12-28 21:30:00
