Game_Start,Game_End
2018-01-05 19:30:00+00:00,2018-01-05 21:49:00+00:00
2018-01-07 14:00:00+00:00,2018-01-07 16:19:00+00:00
2018-01-10 19:00:00+00:00,2018-01-10 21:19:00+00:00
2018-01-12 19:30:00+00:00,2018-01-12 21:49:00+00:00
2018-01-14 11:30:00+00:00,2018-01-14 13:49:00+00:00
2018-01-20 19:30:00+00:00,2018-01-20 21:49:00+00:00
2018-01-22 19:30:00+00:00,2018-01-22 21:49:00+00:00
2018-01-24 19:00:00+00:00,2018-01-24 21:19:00+00:00
2018-02-06 19:30:00+00:00,2018-02-06 21:49:00+00:00
2018-02-08 19:30:00+00:00,2018-02-08 21:49:00+00:00
2018-02-15 19:30:00+00:00,2018-02-15 21:49:00+00:00
2018-02-17 19:30:00+00:00,2018-02-17 21:49:00+00:00
2018-02-19 19:30:00+00:00,2018-02-19 21:49:00+00:00
2018-02-21 19:00:00+00:00,2018-02-21 21:19:00+00:00
2018-02-23 19:30:00+00:00,2018-02-23 21:49:00+00:00
2018-03-06 19:30:00+00:00,2018-03-06 21:49:00+00:00
2018-03-08 19:30:00+00:00,2018-03-08 21:49:00+00:00
2018-03-11 11:30:00+00:00,2018-03-11 13:49:00+00:00
2018-03-18 18:30:00+00:00,2018-03-18 20:49:00+00:00
2018-03-20 19:30:00+00:00,2018-03-20 21:49:00+00:00
2018-03-22 19:30:00+00:00,2018-03-22 21:49:00+00:00
2018-03-26 19:30:00+00:00,2018-03-26 21:49:00+00:00
2018-03-29 19:30:00+00:00,2018-03-29 21:49:00+00:00
2018-04-06 19:30:00+00:00,2018-04-06 21:49:00+00:00
