id,lat,lon,name,poi_type,h3_res_4,h3_res_6,h3_res_8,census_tract
252643581,42.0080864,-87.6659686,Morse,station,842664dffffffff,862664d8fffffff,882664d8c1fffff,17031010600
252643632,41.9538873,-87.654928,Sheridan,station,842664dffffffff,862664c17ffffff,882664c169fffff,17031832100
252683058,41.9475198,-87.6536271,Addison,station,842664dffffffff,862664c17ffffff,882664c16bfffff,17031061000
252683064,41.9397964,-87.6533276,Belmont,station,842664dffffffff,862664c17ffffff,882664c163fffff,17031063000
252683073,41.9182415,-87.6526308,Armitage,station,842664dffffffff,862664c17ffffff,882664c13dfffff,17031071100
258026049,41.8754875,-87.6496998,UIC-Halsted,station,842664dffffffff,862664cafffffff,882664c1a5fffff,17031841900
258026055,41.8758947,-87.6593253,Racine,station,842664dffffffff,862664cafffffff,882664ca99fffff,17031832900
258278032,41.8756639,-87.673256,Illinois Medical District,station,842664dffffffff,862664cafffffff,882664ca9dfffff,17031838100
258281897,41.8755722,-87.6409992,Clinton,station,842664dffffffff,862664c1fffffff,882664c1a5fffff,17031841900
258281908,41.8913772,-87.6478613,Grand,station,842664dffffffff,862664cafffffff,882664cadbfffff,17031243500
258284110,41.9384535,-87.7124447,Belmont,station,842664dffffffff,862664ca7ffffff,882664ca0bfffff,17031210601
258284111,41.9301967,-87.7092087,Logan Square,station,842664dffffffff,862664ca7ffffff,882664ca03fffff,17031220602
258294724,41.873334,-87.6275674,Harrison,station,842664dffffffff,862664c1fffffff,882664c1abfffff,17031839000
258296349,41.8857605,-87.6279575,State/Lake,station,842664dffffffff,862664c1fffffff,882664c1a9fffff,17031839100
258296742,41.878227,-87.627698,Jackson,station,842664dffffffff,862664c1fffffff,882664c1a9fffff,17031839100
258296743,41.8807789,-87.6277387,Monroe,station,842664dffffffff,862664c1fffffff,882664c1a9fffff,17031839100
258940051,41.8824096,-87.6338517,Washington/Wells,station,842664dffffffff,862664c1fffffff,882664c1a9fffff,17031839100
258940052,41.8787419,-87.6337584,Quincy,station,842664dffffffff,862664c1fffffff,882664c1a1fffff,17031839100
258940056,41.8768826,-87.6313905,LaSalle/Van Buren,station,842664dffffffff,862664c1fffffff,882664c1a1fffff,17031839100
258940057,41.8769158,-87.6289437,Harold Washington Library-State/Van Buren,station,842664dffffffff,862664c1fffffff,882664c1a9fffff,17031839100
258940060,41.8796269,-87.6261185,Adams/Wabash,station,842664dffffffff,862664c1fffffff,882664c1a9fffff,17031320400
258940066,41.8857521,-87.6313842,Clark/Lake,station,842664dffffffff,862664c1fffffff,882664c1e7fffff,17031839100
258942193,41.8857166,-87.6419195,Clinton,station,842664dffffffff,862664c1fffffff,882664c1adfffff,17031280100
258942196,41.8853413,-87.6662819,Ashland,station,842664dffffffff,862664cafffffff,882664cad7fffff,17031833000
259749423,41.8320387,-87.6258861,35th-Bronzeville-IIT,station,842664dffffffff,862664cf7ffffff,882664cf57fffff,17031842000
289820702,41.8832522,-87.6294604,Washington,station,842664dffffffff,862664c1fffffff,882664c1a9fffff,17031839100
289821002,41.8807318,-87.6293863,Monroe,station,842664dffffffff,862664c1fffffff,882664c1a9fffff,17031839100
