date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2018-01-01,1:53 AM,-1 °F,-12 °F,60 %,WNW,8 mph,0 mph,29.96 in,0.0 in,Fair
2018-01-01,2:53 AM,-2 °F,-13 °F,60 %,WNW,10 mph,0 mph,29.98 in,0.0 in,Fair
2018-01-01,3:53 AM,-3 °F,-14 °F,59 %,NW,12 mph,0 mph,29.98 in,0.0 in,Fair
2018-01-01,4:53 AM,-4 °F,-15 °F,59 %,NW,12 mph,0 mph,29.98 in,0.0 in,Fair
2018-01-01,5:53 AM,-5 °F,-15 °F,62 %,WNW,9 mph,0 mph,29.98 in,0.0 in,Partly Cloudy
2018-01-01,6:53 AM,-6 °F,-16 °F,62 %,WNW,13 mph,0 mph,29.99 in,0.0 in,Fair
2018-01-01,7:53 AM,-7 °F,-16 °F,65 %,W,10 mph,0 mph,30.00 in,0.0 in,Fair
2018-01-01,8:53 AM,-7 °F,-16 °F,65 %,W,9 mph,0 mph,30.01 in,0.0 in,Fair
2018-01-01,9:53 AM,-6 °F,-15 °F,65 %,WNW,10 mph,0 mph,30.02 in,0.0 in,Fair
2018-01-01,10:53 AM,-4 °F,-15 °F,59 %,WNW,12 mph,0 mph,30.03 in,0.0 in,Fair
2018-01-01,11:53 AM,-2 °F,-13 °F,60 %,W,10 mph,0 mph,30.02 in,0.0 in,Fair
2018-01-01,12:53 PM,1 °F,-11 °F,57 %,W,10 mph,0 mph,30.00 in,0.0 in,Fair
2018-01-01,1:53 PM,2 °F,-10 °F,58 %,W,12 mph,0 mph,30.00 in,0.0 in,Fair
2018-01-01,2:53 PM,3 °F,-10 °F,55 %,W,12 mph,0 mph,29.99 in,0.0 in,Fair
2018-01-01,3:53 PM,3 °F,-9 °F,57 %,W,13 mph,0 mph,29.99 in,0.0 in,Fair
2018-01-01,4:53 PM,2 °F,-10 °F,58 %,W,12 mph,0 mph,30.00 in,0.0 in,Fair
2018-01-01,5:53 PM,0 °F,-10 °F,63 %,W,9 mph,0 mph,30.02 in,0.0 in,Fair
2018-01-01,6:53 PM,-1 °F,-10 °F,66 %,W,12 mph,0 mph,30.02 in,0.0 in,Fair
2018-01-01,7:53 PM,-3 °F,-11 °F,68 %,W,12 mph,0 mph,30.02 in,0.0 in,Fair
2018-01-01,8:53 PM,-4 °F,-11 °F,72 %,W,10 mph,0 mph,30.03 in,0.0 in,Cloudy
2018-01-01,9:53 PM,-5 °F,-11 °F,76 %,W,9 mph,0 mph,30.02 in,0.0 in,Cloudy
2018-01-01,10:53 PM,-5 °F,-12 °F,72 %,WSW,7 mph,0 mph,30.02 in,0.0 in,Cloudy
2018-01-01,11:53 PM,-5 °F,-12 °F,72 %,W,9 mph,0 mph,30.01 in,0.0 in,Cloudy
2018-01-01,12:53 AM,-5 °F,-12 °F,72 %,W,9 mph,0 mph,29.99 in,0.0 in,Cloudy
2018-01-02,1:53 AM,-5 °F,-12 °F,72 %,W,8 mph,0 mph,29.98 in,0.0 in,Cloudy
2018-01-02,2:53 AM,-6 °F,-11 °F,79 %,W,9 mph,0 mph,29.97 in,0.0 in,Cloudy
2018-01-02,3:53 AM,-7 °F,-12 °F,79 %,WSW,8 mph,0 mph,29.96 in,0.0 in,Cloudy
2018-01-02,4:53 AM,-8 °F,-13 °F,79 %,WSW,9 mph,0 mph,29.95 in,0.0 in,Cloudy
2018-01-02,5:53 AM,-8 °F,-13 °F,79 %,SW,7 mph,0 mph,29.94 in,0.0 in,Cloudy
2018-01-02,6:53 AM,-9 °F,-14 °F,79 %,WSW,8 mph,0 mph,29.94 in,0.0 in,Cloudy
2018-01-02,7:53 AM,-9 °F,-14 °F,79 %,WSW,8 mph,0 mph,29.94 in,0.0 in,Cloudy
2018-01-02,8:53 AM,-9 °F,-15 °F,75 %,WSW,12 mph,0 mph,29.93 in,0.0 in,Cloudy
2018-01-02,9:53 AM,-8 °F,-14 °F,75 %,SW,8 mph,0 mph,29.92 in,0.0 in,Cloudy
2018-01-02,10:53 AM,-3 °F,-12 °F,65 %,SW,9 mph,0 mph,29.91 in,0.0 in,Cloudy
2018-01-02,11:53 AM,1 °F,-11 °F,57 %,WSW,13 mph,0 mph,29.88 in,0.0 in,Fair
2018-01-02,12:53 PM,3 °F,-8 °F,60 %,WSW,13 mph,0 mph,29.83 in,0.0 in,Fair
2018-01-02,1:53 PM,5 °F,-6 °F,61 %,WSW,17 mph,0 mph,29.79 in,0.0 in,Fair
2018-01-02,2:53 PM,6 °F,-5 °F,60 %,WSW,14 mph,0 mph,29.75 in,0.0 in,Fair
2018-01-02,3:53 PM,6 °F,-6 °F,58 %,WSW,16 mph,0 mph,29.73 in,0.0 in,Fair
2018-01-02,4:53 PM,5 °F,-7 °F,58 %,WSW,12 mph,0 mph,29.71 in,0.0 in,Cloudy
2018-01-02,5:53 PM,3 °F,-6 °F,66 %,SSW,13 mph,0 mph,29.68 in,0.0 in,Cloudy
2018-01-02,6:53 PM,2 °F,-7 °F,66 %,SSW,15 mph,0 mph,29.65 in,0.0 in,Cloudy
2018-01-02,7:53 PM,1 °F,-7 °F,69 %,SSW,14 mph,0 mph,29.61 in,0.0 in,Partly Cloudy
2018-01-02,8:53 PM,2 °F,-6 °F,69 %,SW,15 mph,23 mph,29.60 in,0.0 in,Cloudy
2018-01-02,9:53 PM,3 °F,-5 °F,69 %,SW,14 mph,0 mph,29.56 in,0.0 in,Partly Cloudy
2018-01-02,10:53 PM,4 °F,-3 °F,73 %,SSW,12 mph,22 mph,29.52 in,0.0 in,Cloudy
2018-01-02,11:53 PM,6 °F,-2 °F,69 %,SSW,13 mph,0 mph,29.50 in,0.0 in,Cloudy
2018-01-02,12:53 AM,7 °F,-1 °F,70 %,SSW,12 mph,0 mph,29.45 in,0.0 in,Cloudy
2018-01-03,1:53 AM,11 °F,0 °F,61 %,SW,15 mph,0 mph,29.42 in,0.0 in,Cloudy
2018-01-03,2:53 AM,12 °F,1 °F,61 %,SSW,13 mph,0 mph,29.40 in,0.0 in,Cloudy
2018-01-03,3:53 AM,12 °F,2 °F,64 %,SSW,10 mph,0 mph,29.39 in,0.0 in,Cloudy
2018-01-03,4:53 AM,14 °F,4 °F,64 %,SW,14 mph,0 mph,29.37 in,0.0 in,Light Snow
2018-01-03,5:20 AM,14 °F,6 °F,71 %,WSW,14 mph,0 mph,29.37 in,0.0 in,Light Snow
2018-01-03,5:40 AM,14 °F,6 °F,71 %,WSW,13 mph,0 mph,29.36 in,0.0 in,Light Snow
2018-01-03,5:53 AM,14 °F,6 °F,71 %,WSW,10 mph,0 mph,29.36 in,0.0 in,Light Snow
2018-01-03,6:53 AM,14 °F,8 °F,77 %,WSW,13 mph,0 mph,29.36 in,0.0 in,Light Snow
2018-01-03,7:53 AM,15 °F,9 °F,77 %,WSW,10 mph,0 mph,29.37 in,0.0 in,Light Snow
2018-01-03,8:53 AM,15 °F,10 °F,80 %,WSW,9 mph,0 mph,29.36 in,0.0 in,Light Snow
2018-01-03,9:53 AM,16 °F,11 °F,81 %,W,10 mph,0 mph,29.37 in,0.0 in,Light Snow
2018-01-03,9:55 AM,16 °F,11 °F,81 %,W,9 mph,0 mph,29.37 in,0.0 in,Light Snow
2018-01-03,10:53 AM,17 °F,11 °F,77 %,WNW,10 mph,0 mph,29.38 in,0.0 in,Light Snow
2018-01-03,11:34 AM,17 °F,10 °F,74 %,WNW,9 mph,0 mph,29.38 in,0.0 in,Light Snow
2018-01-03,11:53 AM,17 °F,9 °F,71 %,WNW,13 mph,0 mph,29.38 in,0.0 in,Light Snow
2018-01-03,12:43 PM,17 °F,8 °F,68 %,WNW,12 mph,0 mph,29.38 in,0.0 in,Light Snow
2018-01-03,12:53 PM,18 °F,9 °F,68 %,NW,12 mph,0 mph,29.38 in,0.0 in,Light Snow
2018-01-03,1:53 PM,17 °F,7 °F,65 %,NW,17 mph,0 mph,29.37 in,0.0 in,Light Snow
2018-01-03,2:53 PM,17 °F,6 °F,62 %,WNW,16 mph,0 mph,29.38 in,0.0 in,Cloudy
